specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,baseline_temp,correction,s_tensor,aniso_type,NLT_beta
KBW-08K1,KBW-08K1,KBW,4.2311346e-07,1.4216996870699066e-06,7.9999999978673e-08,-9.699999999137109e-08,-4.040000000473489e-07,-3.299999999489751e-08,-2.999999994111329e-08,1.4210000000768966e-06,1.8088803208739955e-08,2.5581430824898005e-08,5.663551402e-05,ZI,773.0,,1,,,
KBW-08K1,KBW-08K1,KBW,2.743720102e-07,1.7848431302767498e-06,2.000000000157234e-08,-7.199999998984404e-08,-2.639999999670236e-07,5.4000000034363525e-08,-8.500000006439902e-08,1.7819999999106194e-06,1.1729859169439307e-08,1.6588525922147476e-08,5.663551402e-05,ZI,803.0,,1,,,
KBW-08K1,KBW-08K1,KBW,1.6353926130000002e-07,2.0129839765370417e-06,1.8799999996673542e-08,-3.3800000000490715e-08,-1.58899999957966e-07,6.320000003356954e-08,-1.9200000014568163e-08,2.01189999994783e-06,6.991575060170391e-09,9.887580272442454e-09,5.663551402e-05,ZI,823.0,,1,,,
KBW-08K1,KBW-08K1,KBW,8.2086905e-09,2.222905302220694e-06,-3.5699999925009967e-09,1.4899999967113677e-09,7.239999985368319e-09,1.3570000038289623e-08,-2.1490000085736366e-08,2.222760000008132e-06,3.509351535542102e-10,4.962972536698487e-10,5.663551402e-05,ZI,873.0,,1,,,
KBW-08K1,KBW-08K1,KBW,1.8306253029e-06,1.7664653973285614e-07,2.3799999998447448e-07,-5.030000000723547e-07,-1.743999999871651e-06,4.7999999975289845e-08,7.199999995360821e-08,1.540000000280653e-07,7.826227237748019e-08,5.594332141372226e-08,5.663551402e-05,P,423.0,523.0,1,,,
KBW-08K1,KBW-08K1,KBW,1.4699217666e-06,3.806441908256898e-07,1.420000000325211e-07,-4.4099999997994283e-07,-1.3949999999759567e-06,-2.1000000030039318e-08,7.00000004934244e-09,3.800000000097259e-07,6.284159707013524e-08,3.5748314164212925e-08,5.663551402e-05,P,523.0,593.0,1,,,
KBW-08K1,KBW-08K1,KBW,1.1948648459e-06,5.997274381006713e-07,1.820000000300804e-07,-3.330000000133776e-07,-1.1329999999769516e-06,2.5999999980826792e-08,-1.4000000007602989e-08,5.99000000009665e-07,5.108245683918089e-08,2.1273022035090194e-08,5.663551402e-05,P,593.0,653.0,1,,,
KBW-08K1,KBW-08K1,KBW,1.0135955801e-06,8.312550752374753e-07,1.4799999999661145e-07,-2.759999999785834e-07,-9.640000000057473e-07,1.8000000005734723e-08,-1.000000003874326e-08,8.31000000064428e-07,4.333289463700237e-08,1.1253598261251515e-08,5.663551402e-05,P,653.0,708.0,1,,,
KBW-08K1,KBW-08K1,KBW,7.813104377000001e-07,1.0610546640020682e-06,9.700000000208751e-08,-2.109999999738625e-07,-7.460000000466426e-07,1.000000001397422e-08,4.000000005353583e-09,1.0610000000001034e-06,3.3402318972527554e-08,2.4700953754750593e-08,5.663551402e-05,P,708.0,753.0,1,,,
KBW-08K1,KBW-08K1,KBW,5.344174398e-07,1.3961668954661965e-06,7.699999997114457e-08,-1.4699999996824895e-07,-5.079999999765405e-07,4.99999998373849e-09,-2.0999999969745366e-08,1.3959999999989794e-06,2.284723322170094e-08,4.856968773855093e-08,5.663551402e-05,P,753.0,803.0,1,,,
KBW-08K1,KBW-08K1,KBW,2.743720102e-07,2.0655589031024074e-06,2.000000000157234e-08,-7.199999998984404e-08,-2.639999999670236e-07,-5.643000001035982e-08,-9.14899999873198e-08,2.062759999899836e-06,1.1729859169439307e-08,8.86166758249391e-08,5.663551402e-05,P,803.0,873.0,1,,,
KBW-08K1,KBW-08K1,KBW,1.6879674166e-06,3.038107964124561e-07,2.589999999833719e-07,-3.629999999162305e-07,-1.6279999998687678e-06,4.0000000098770064e-08,9.99999980774181e-09,3.010000000211203e-07,7.216341078263634e-08,1.0376140787898953e-07,5.663551402e-05,T,483.0,483.0,1,,,
KBW-08K1,KBW-08K1,KBW,1.2502023836e-06,5.400499975863445e-07,1.3400000001881634e-07,-3.4900000003635583e-07,-1.1929999999701184e-06,9.999999963826803e-10,-4.699999992055476e-08,5.379999999075147e-07,5.3448228491804584e-08,7.68916167016805e-08,5.663551402e-05,T,563.0,563.0,1,,,
KBW-08K1,KBW-08K1,KBW,1.0721595031e-06,7.061975643848539e-07,7.299999998824601e-08,-2.460000000094207e-07,-1.0410000000406915e-06,-2.700000003218424e-08,-3.099999993163636e-08,7.049999999614188e-07,4.5836599620244445e-08,6.658348518431201e-08,5.663551402e-05,T,623.0,623.0,1,,,
